date,timestamp,client,p10,p25,p50,p75,p90
2019_04_01,1554076800000,mobile,57.11,258.77,863.11,2211.36,4626.23
2019_03_01,1551398400000,desktop,63.31,278.92,899.63,2263.04,4788.46
2019_03_01,1551398400000,mobile,52.89,247.24,843.49,2174.0,4555.39
2019_02_01,1548979200000,desktop,70.54,299.1,930.94,2305.93,4911.17
2019_02_01,1548979200000,mobile,55.63,250.03,845.2,2171.98,4546.63
2019_01_01,1546300800000,desktop,66.64,290.81,916.67,2280.06,4855.62
2019_01_01,1546300800000,mobile,53.41,245.83,842.62,2169.48,4537.6
2018_12_15,1544832000000,desktop,67.35,294.83,930.5,2315.26,4929.11
2018_12_15,1544832000000,mobile,25.8,117.19,491.01,1554.42,3530.83
2018_12_01,1543622400000,desktop,38.81,177.56,657.94,1792.0,4024.71
2018_12_01,1543622400000,mobile,25.7,117.31,482.4,1547.27,3510.65
2018_11_15,1542240000000,desktop,39.43,180.61,657.11,1784.33,4014.92
2018_11_15,1542240000000,mobile,25.77,117.83,481.94,1544.47,3524.42
2018_11_01,1541030400000,desktop,39.08,179.55,654.68,1781.16,4004.93
2018_11_01,1541030400000,mobile,26.01,118.17,490.34,1544.75,3517.8
2018_10_15,1539561600000,desktop,39.1,179.24,653.2,1786.94,4003.16
2018_10_15,1539561600000,mobile,26.09,117.78,497.92,1549.2,3521.74
2018_10_01,1538352000000,desktop,39.11,179.62,654.75,1783.15,3997.71
2018_10_01,1538352000000,mobile,26.36,122.1,496.12,1552.73,3516.99
2018_09_15,1536969600000,desktop,39.76,181.75,657.22,1780.92,3990.59
2018_09_15,1536969600000,mobile,26.78,123.74,498.26,1549.48,3514.8
2018_09_01,1535760000000,desktop,39.21,179.55,651.17,1762.76,3954.8
2018_09_01,1535760000000,mobile,26.41,120.72,486.26,1541.6,3487.36
2018_08_15,1534291200000,desktop,39.48,181.08,653.01,1761.83,3959.65
2018_08_15,1534291200000,mobile,26.61,120.24,501.22,1541.21,3478.25
2018_08_01,1533081600000,desktop,39.64,181.75,649.88,1757.01,3948.02
2018_08_01,1533081600000,mobile,26.68,120.04,493.5,1541.27,3482.98
2018_07_15,1531612800000,desktop,40.19,182.49,652.4,1756.47,3940.05
2018_07_15,1531612800000,mobile,27.06,123.48,494.59,1536.95,3472.64
2018_07_01,1530403200000,desktop,40.12,181.83,649.61,1752.41,3936.38
2018_07_01,1530403200000,mobile,42.78,235.41,794.05,1998.06,4110.64
2018_06_15,1529020800000,desktop,54.66,276.48,864.26,2100.16,4350.51
2018_06_15,1529020800000,mobile,40.76,232.34,790.25,1994.01,4104.79
2018_06_01,1527811200000,desktop,58.33,280.62,863.84,2093.3,4331.66
2018_06_01,1527811200000,mobile,42.78,236.65,797.98,2020.3,4224.54
2018_05_15,1526342400000,desktop,59.93,282.44,859.93,2074.18,4274.1
2018_05_15,1526342400000,mobile,42.98,237.6,790.2,1979.65,4062.8
2018_05_01,1525132800000,desktop,62.36,285.39,860.92,2069.39,4246.16
2018_05_01,1525132800000,mobile,43.9,237.82,787.81,1970.5,4038.21
2018_04_15,1523750400000,desktop,63.37,286.58,861.29,2063.04,4232.38
2018_04_15,1523750400000,mobile,44.51,239.76,790.76,1965.18,4023.24
2018_03_15,1521072000000,desktop,66.45,292.91,867.53,2069.53,4223.57
2018_03_15,1521072000000,mobile,44.73,239.14,788.7,1955.9,3987.4
2018_03_01,1519862400000,desktop,66.64,291.96,866.33,2060.78,4202.23
2018_03_01,1519862400000,mobile,43.93,235.96,781.0,1946.11,3966.92
2018_02_15,1518652800000,desktop,66.79,294.11,869.0,2064.94,4206.25
2018_02_15,1518652800000,mobile,44.42,233.72,775.64,1944.84,3964.02
2018_02_01,1517443200000,desktop,69.9,299.1,880.52,2076.65,4230.68
2018_02_01,1517443200000,mobile,45.55,236.95,781.92,1949.31,3975.01
2018_01_15,1515974400000,desktop,69.74,299.75,879.27,2071.77,4201.4
2018_01_15,1515974400000,mobile,47.06,239.94,784.13,1940.94,3940.28
2018_01_01,1514764800000,desktop,68.42,298.88,883.19,2094.55,4250.0
2018_01_01,1514764800000,mobile,47.61,241.06,784.72,1946.46,3955.89
2017_12_15,1513296000000,desktop,70.21,303.15,900.36,2132.7,4314.71
2017_12_15,1513296000000,mobile,48.59,245.95,799.26,1978.74,4016.92
2017_12_01,1512086400000,desktop,69.85,298.0,881.72,2087.5,4236.87
2017_12_01,1512086400000,mobile,48.24,241.03,784.63,1951.35,3973.18
2017_11_15,1510704000000,desktop,71.12,299.62,877.13,2076.07,4212.86
2017_11_15,1510704000000,mobile,49.41,242.92,785.36,1943.95,3962.13
2017_11_01,1509494400000,desktop,71.96,299.3,875.53,2073.76,4207.47
2017_11_01,1509494400000,mobile,49.56,240.84,783.69,1940.43,3960.78
2017_10_15,1508025600000,desktop,70.11,294.33,866.02,2061.4,4172.56
2017_10_15,1508025600000,mobile,49.89,239.7,777.94,1926.13,3929.04
2017_10_01,1506816000000,desktop,72.79,299.55,874.57,2064.52,4184.92
2017_10_01,1506816000000,mobile,50.15,239.73,775.96,1918.72,3910.56
2017_09_15,1505433600000,desktop,73.14,300.93,875.79,2068.82,4174.59
2017_09_15,1505433600000,mobile,51.7,242.02,779.42,1923.56,3921.33
2017_09_01,1504224000000,desktop,73.79,301.61,874.52,2060.69,4151.45
2017_09_01,1504224000000,mobile,51.36,240.31,771.87,1907.71,3889.99
2017_08_15,1502755200000,desktop,73.57,303.44,874.54,2052.81,4142.84
2017_08_15,1502755200000,mobile,51.55,240.8,769.62,1899.57,3875.7
2017_08_01,1501545600000,desktop,71.3,300.27,868.8,2042.11,4106.33
2017_08_01,1501545600000,mobile,50.56,239.37,765.28,1885.01,3832.54
2017_07_15,1500076800000,desktop,63.56,275.28,824.15,1979.88,4036.25
2017_07_15,1500076800000,mobile,44.12,216.68,722.6,1833.58,3777.78
2017_07_01,1498867200000,desktop,62.89,272.74,820.07,1970.76,4010.74
2017_07_01,1498867200000,mobile,42.78,212.25,714.57,1819.68,3748.74
2017_06_15,1497484800000,desktop,60.19,265.14,807.46,1958.43,3977.16
2017_06_15,1497484800000,mobile,42.53,209.71,706.93,1802.7,3704.43
2017_06_01,1496275200000,desktop,57.98,261.72,801.47,1939.87,3942.3
2017_06_01,1496275200000,mobile,40.34,204.51,698.05,1783.08,3678.69
2017_05_15,1494806400000,desktop,57.65,260.35,795.76,1925.15,3909.69
2017_05_15,1494806400000,mobile,40.13,202.68,693.04,1769.4,3645.43
2017_05_01,1493596800000,desktop,59.09,262.41,793.86,1914.95,3886.13
2017_05_01,1493596800000,mobile,40.31,202.08,691.75,1762.56,3639.65
2017_04_15,1492214400000,desktop,69.82,288.85,840.97,1971.52,3958.26
2017_04_15,1492214400000,mobile,45.42,223.66,735.25,1834.82,3784.59
2017_04_01,1491004800000,desktop,69.91,287.2,836.26,1967.08,3939.07
2017_04_01,1491004800000,mobile,45.6,221.36,729.41,1827.45,3770.63
2017_03_15,1489536000000,desktop,72.52,291.72,837.56,1954.69,3904.49
2017_03_15,1489536000000,mobile,46.06,221.54,724.2,1812.11,3725.18
2017_03_01,1488326400000,desktop,72.96,290.28,833.41,1951.53,3889.06
2017_03_01,1488326400000,mobile,46.27,219.88,722.64,1803.4,3700.55
2017_02_15,1487116800000,desktop,71.23,287.84,828.45,1939.29,3875.15
2017_02_15,1487116800000,mobile,45.61,217.86,717.17,1798.59,3723.69
2017_02_01,1485907200000,desktop,73.23,289.44,829.93,1941.99,3890.07
2017_02_01,1485907200000,mobile,45.91,217.01,713.17,1792.09,3696.73
2017_01_15,1484438400000,mobile,45.17,214.14,707.5,1779.48,3653.29
2017_01_01,1483228800000,mobile,43.46,210.9,703.08,1762.87,3627.44
2016_12_15,1481760000000,desktop,71.09,295.92,852.05,1951.8,3815.11
2016_12_15,1481760000000,mobile,44.59,214.79,717.99,1797.63,3690.29
2016_11_15,1479168000000,desktop,71.96,287.78,830.23,1941.09,3880.14
2016_11_15,1479168000000,mobile,45.22,215.2,710.44,1778.03,3639.24
2016_11_01,1477958400000,desktop,69.96,286.76,833.36,1951.16,3912.86
2016_11_01,1477958400000,mobile,43.54,213.68,709.55,1778.24,3671.38
2016_10_15,1476489600000,desktop,71.28,294.51,849.22,1977.57,3964.83
2016_10_15,1476489600000,mobile,43.9,212.5,706.42,1762.86,3613.92
2016_10_01,1475280000000,desktop,72.2,294.85,852.47,2002.33,4098.51
2016_10_01,1475280000000,mobile,43.95,211.66,703.42,1760.89,3617.21
2016_09_15,1473897600000,desktop,70.92,290.1,833.27,1942.92,3875.09
2016_09_15,1473897600000,mobile,26.89,166.01,624.02,1623.56,3383.01
2016_09_01,1472688000000,desktop,74.21,292.48,830.54,1916.01,3776.89
2016_09_01,1472688000000,mobile,27.88,166.41,620.98,1615.37,3362.08
2016_08_15,1471219200000,desktop,75.64,293.38,828.24,1910.8,3762.65
2016_08_15,1471219200000,mobile,28.75,167.81,618.15,1604.81,3344.04
2016_08_01,1470009600000,desktop,74.34,291.98,823.53,1895.13,3737.61
2016_08_01,1470009600000,mobile,28.42,164.76,610.97,1589.01,3309.07
2016_07_15,1468540800000,desktop,75.1,291.11,817.59,1876.65,3704.58
2016_07_15,1468540800000,mobile,28.86,165.67,610.61,1587.93,3311.83
2016_07_01,1467331200000,desktop,73.93,287.25,811.05,1862.28,3674.33
2016_07_01,1467331200000,mobile,32.99,168.23,596.13,1491.42,3076.67
2016_06_15,1465948800000,desktop,70.14,279.03,797.25,1843.42,3643.11
2016_06_15,1465948800000,mobile,43.15,164.83,507.07,1278.81,2540.75
2016_06_01,1464739200000,desktop,71.76,282.2,802.16,1842.7,3638.13
2016_06_01,1464739200000,mobile,42.78,170.3,517.11,1342.58,2653.17
2016_05_15,1463270400000,desktop,70.4,276.57,792.07,1821.41,3594.55
2016_05_15,1463270400000,mobile,42.78,161.57,518.19,1287.52,2443.8
2016_05_01,1462060800000,desktop,60.34,257.15,761.38,1760.87,3496.29
2016_05_01,1462060800000,mobile,32.63,133.42,423.88,1072.88,2137.78
2016_04_15,1460678400000,desktop,58.41,253.34,750.15,1739.92,3429.78
2016_04_15,1460678400000,mobile,32.63,131.85,427.61,1090.29,2137.51
2016_04_01,1459468800000,desktop,58.77,255.06,753.25,1742.6,3434.57
2016_04_01,1459468800000,mobile,33.01,134.04,425.93,1071.12,2084.02
2016_03_15,1458000000000,desktop,59.14,255.25,752.06,1740.29,3435.21
2016_03_01,1456790400000,desktop,59.6,256.21,746.89,1721.28,3392.96
2016_03_01,1456790400000,mobile,34.59,133.87,435.48,1060.11,2104.21
2016_02_15,1455494400000,desktop,59.06,252.08,738.66,1700.79,3359.02
2016_02_15,1455494400000,mobile,34.59,134.37,414.88,1052.42,2068.0
2016_02_01,1454284800000,desktop,58.1,249.75,735.72,1695.89,3349.45
2016_02_01,1454284800000,mobile,34.59,135.74,419.11,1050.48,2048.39
2016_01_15,1452816000000,desktop,57.57,249.95,731.47,1683.49,3320.47
2016_01_15,1452816000000,mobile,33.74,134.38,410.25,1019.67,2005.03
2016_01_01,1451606400000,desktop,58.57,252.41,736.33,1692.67,3333.42
2016_01_01,1451606400000,mobile,33.18,141.26,421.26,1041.46,1986.34
2015_12_15,1450137600000,desktop,61.17,256.45,750.13,1723.13,3380.19
2015_12_15,1450137600000,mobile,34.59,132.02,422.9,1048.97,2052.84
2015_12_01,1448928000000,desktop,60.01,252.97,737.83,1694.03,3330.86
2015_12_01,1448928000000,mobile,34.31,130.86,415.11,1009.32,1985.17
2015_11_15,1447545600000,desktop,61.64,252.85,730.44,1678.98,3303.52
2015_11_15,1447545600000,mobile,34.27,127.18,410.27,995.69,2044.34
2015_11_01,1446336000000,desktop,63.28,253.56,728.2,1670.76,3286.99
2015_11_01,1446336000000,mobile,34.11,127.89,405.96,988.73,1966.73
2015_10_15,1444867200000,desktop,62.99,251.33,722.56,1658.09,3257.48
2015_10_15,1444867200000,mobile,33.14,127.46,403.03,990.13,1989.74
2015_10_01,1443657600000,desktop,48.76,218.67,654.2,1503.27,2925.29
2015_10_01,1443657600000,mobile,34.13,128.74,407.94,981.59,1974.04
2015_09_15,1442275200000,desktop,61.33,247.69,716.48,1639.87,3227.86
2015_09_15,1442275200000,mobile,32.07,127.69,404.91,986.21,1951.77
2015_09_01,1441065600000,desktop,60.7,245.6,709.79,1624.38,3203.21
2015_09_01,1441065600000,mobile,33.3,133.91,402.7,980.47,1952.62
2015_08_15,1439596800000,desktop,61.73,246.38,707.82,1622.4,3189.06
2015_08_15,1439596800000,mobile,32.07,122.91,406.04,955.31,1933.29
2015_08_01,1438387200000,desktop,61.35,245.05,703.85,1606.76,3157.42
2015_08_01,1438387200000,mobile,33.74,126.01,401.98,961.64,1833.15
2015_07_15,1436918400000,desktop,61.58,243.22,701.09,1609.67,3168.27
2015_07_15,1436918400000,mobile,34.13,123.01,395.47,955.61,1887.39
2015_07_01,1435708800000,desktop,60.5,241.31,696.07,1600.45,3154.66
2015_07_01,1435708800000,mobile,33.6,124.8,393.97,945.86,1902.62
2015_06_15,1434326400000,desktop,59.72,237.71,687.34,1584.69,3107.83
2015_06_15,1434326400000,mobile,33.01,124.02,391.1,937.09,1887.63
2015_06_01,1433116800000,desktop,60.35,235.92,680.57,1562.68,3060.32
2015_06_01,1433116800000,mobile,33.49,123.5,387.51,933.45,1877.53
2015_05_15,1431648000000,desktop,60.13,233.43,674.28,1550.33,3055.71
2015_05_15,1431648000000,mobile,33.01,118.53,384.09,921.91,1798.48
2015_05_01,1430438400000,desktop,59.22,231.83,672.48,1550.83,3060.65
2015_05_01,1430438400000,mobile,33.16,119.6,385.23,914.53,1839.3
2015_04_15,1429056000000,desktop,66.63,239.02,678.38,1549.12,3048.39
2015_04_15,1429056000000,mobile,32.3,113.4,382.32,945.74,1823.27
2015_04_01,1427846400000,desktop,62.45,228.14,656.52,1501.05,2958.18
2015_04_01,1427846400000,mobile,31.33,115.05,387.71,929.42,1830.63
2015_03_15,1426377600000,desktop,62.67,227.6,654.01,1496.46,2947.33
2015_03_15,1426377600000,mobile,30.57,117.15,385.71,918.1,1775.03
2015_03_01,1425168000000,desktop,66.9,235.31,664.78,1508.65,2965.86
2015_03_01,1425168000000,mobile,28.99,121.51,393.86,918.31,1883.92
2015_02_15,1423958400000,desktop,66.7,236.58,666.02,1510.02,2959.02
2015_02_15,1423958400000,mobile,29.3,116.23,381.04,920.29,1835.53
2015_02_01,1422748800000,desktop,66.26,234.77,660.5,1501.24,2952.74
2015_02_01,1422748800000,mobile,29.55,115.47,374.3,894.33,1809.14
2015_01_15,1421280000000,desktop,66.72,230.87,654.82,1488.72,2938.07
2015_01_15,1421280000000,mobile,29.33,110.43,371.08,922.58,1819.9
2015_01_01,1420070400000,desktop,67.35,231.97,653.89,1486.66,2911.85
2015_01_01,1420070400000,mobile,29.06,119.03,358.41,908.03,1805.87
2014_12_15,1418601600000,desktop,67.06,232.47,661.83,1507.71,2935.67
2014_12_15,1418601600000,mobile,28.96,113.46,361.99,931.21,1794.63
2014_12_01,1417392000000,desktop,66.63,230.89,651.74,1488.22,2906.58
2014_12_01,1417392000000,mobile,28.57,109.4,346.93,899.88,1781.01
2014_11_15,1416009600000,desktop,64.72,226.23,644.55,1457.81,2828.74
2014_11_15,1416009600000,mobile,28.57,103.53,340.08,888.14,1767.34
2014_11_01,1414800000000,desktop,66.2,227.72,642.03,1456.09,2840.15
2014_11_01,1414800000000,mobile,27.92,104.19,345.65,884.5,1744.78
2014_10_15,1413331200000,desktop,66.7,228.11,642.01,1452.63,2841.6
2014_10_15,1413331200000,mobile,26.28,96.21,323.04,839.85,1681.35
2014_10_01,1412121600000,desktop,65.83,227.43,638.8,1442.13,2829.75
2014_10_01,1412121600000,mobile,27.28,96.2,309.84,816.26,1633.65
2014_09_15,1410739200000,desktop,64.51,224.42,632.2,1430.21,2802.47
2014_09_15,1410739200000,mobile,25.26,89.4,304.03,802.54,1608.76
2014_09_01,1409529600000,desktop,65.14,222.57,627.81,1419.33,2768.85
2014_09_01,1409529600000,mobile,24.76,90.84,306.28,818.89,1669.73
2014_08_15,1408060800000,desktop,66.9,224.72,625.45,1409.97,2761.22
2014_08_15,1408060800000,mobile,24.23,87.68,292.54,790.36,1608.15
2014_08_01,1406851200000,desktop,67.01,225.22,623.46,1400.54,2715.34
2014_08_01,1406851200000,mobile,25.53,88.35,293.05,801.94,1641.41
2014_07_15,1405382400000,desktop,66.21,222.28,616.24,1395.45,2723.39
2014_07_15,1405382400000,mobile,25.53,87.42,294.23,787.68,1576.43
2014_07_01,1404172800000,desktop,65.62,219.56,612.28,1389.02,2713.55
2014_07_01,1404172800000,mobile,25.51,92.32,294.05,774.63,1545.97
2014_06_15,1402790400000,desktop,64.72,215.27,604.54,1374.26,2674.28
2014_06_01,1401580800000,desktop,63.33,213.09,597.76,1353.18,2636.37
2014_06_01,1401580800000,mobile,24.61,83.38,285.57,721.39,1522.8
2014_05_15,1400112000000,desktop,63.16,210.07,592.37,1347.97,2631.01
2014_05_15,1400112000000,mobile,22.72,79.67,273.38,727.28,1489.26
2014_05_01,1398902400000,desktop,63.57,210.13,588.18,1332.43,2621.85
2014_05_01,1398902400000,mobile,23.76,81.15,280.63,724.0,1477.55
2014_04_15,1397520000000,desktop,63.91,209.37,585.8,1328.42,2595.02
2014_04_15,1397520000000,mobile,23.95,79.67,278.88,735.76,1525.19
2014_04_01,1396310400000,desktop,62.96,206.72,576.85,1312.32,2551.25
2014_04_01,1396310400000,mobile,23.6,77.27,269.39,724.38,1506.82
2014_03_15,1394841600000,desktop,61.31,203.89,569.89,1293.92,2514.99
2014_03_15,1394841600000,mobile,21.94,76.38,267.38,719.65,1478.2
2014_03_01,1393632000000,desktop,62.14,203.56,564.06,1276.98,2497.0
2014_03_01,1393632000000,mobile,23.48,79.44,269.65,698.87,1430.7
2014_02_15,1392422400000,desktop,62.32,202.95,560.02,1264.73,2467.88
2014_02_15,1392422400000,mobile,22.91,76.55,264.05,693.01,1441.31
2014_02_01,1391212800000,desktop,62.06,200.39,552.09,1249.75,2440.92
2014_02_01,1391212800000,mobile,22.99,77.27,261.49,686.34,1434.46
2014_01_15,1389744000000,desktop,63.04,201.1,547.78,1241.24,2428.28
2014_01_15,1389744000000,mobile,24.49,79.67,259.64,691.56,1437.54
2014_01_01,1388534400000,desktop,64.28,202.78,548.06,1237.34,2408.26
2014_01_01,1388534400000,mobile,24.87,81.34,268.83,687.68,1453.82
2013_12_15,1387065600000,desktop,64.49,204.01,554.09,1250.02,2421.01
2013_12_15,1387065600000,mobile,24.87,79.03,263.36,691.95,1442.01
2013_11_15,1384473600000,desktop,61.02,195.71,535.47,1211.48,2356.07
2013_11_15,1384473600000,mobile,22.45,74.08,252.44,667.13,1419.66
2013_11_01,1383264000000,desktop,61.36,194.23,528.27,1190.0,2316.3
2013_11_01,1383264000000,mobile,22.63,74.08,240.52,654.54,1418.19
2013_10_15,1381795200000,desktop,61.68,193.81,526.86,1192.1,2329.76
2013_10_15,1381795200000,mobile,22.19,78.62,243.83,652.48,1439.41
2013_10_01,1380585600000,desktop,60.01,190.63,519.45,1172.31,2289.74
2013_10_01,1380585600000,mobile,23.05,79.67,240.9,671.49,1433.33
2013_09_15,1379203200000,desktop,60.86,190.85,517.03,1167.89,2276.56
2013_09_15,1379203200000,mobile,23.64,79.67,241.51,658.29,1435.65
2013_09_01,1377993600000,desktop,59.02,186.92,509.1,1150.66,2240.98
2013_09_01,1377993600000,mobile,23.04,78.3,240.76,658.1,1402.15
2013_08_15,1376524800000,desktop,54.07,177.88,494.3,1128.2,2205.79
2013_08_15,1376524800000,mobile,22.09,79.34,229.83,654.14,1410.45
2013_08_01,1375315200000,desktop,54.48,177.27,494.89,1131.84,2217.04
