date,timestamp,client,p10,p25,p50,p75,p90
2016_08_01,1470009600000,desktop,183.56,666.6,1493.36,2914.58,5323.06
2016_08_01,1470009600000,mobile,188.03,504.54,1209.23,2453.96,4507.58
2016_07_15,1468540800000,desktop,172.05,664.72,1478.32,2873.4,5272.71
2016_07_15,1468540800000,mobile,152.33,502.71,1206.83,2444.83,4488.9
2016_07_01,1467331200000,desktop,174.01,659.02,1467.13,2861.66,5300.18
2016_07_01,1467331200000,mobile,173.77,528.23,1202.4,2351.79,4274.21
2016_06_15,1465948800000,desktop,149.77,635.07,1451.12,2869.31,5405.85
2016_06_15,1465948800000,mobile,218.74,526.07,1144.54,2163.65,3802.62
2016_06_01,1464739200000,desktop,165.32,650.6,1463.73,2897.97,5528.88
2016_06_01,1464739200000,mobile,227.88,532.16,1141.39,2238.56,3923.45
2016_05_15,1463270400000,desktop,165.34,650.88,1469.48,2913.89,5497.19
2016_05_15,1463270400000,mobile,214.1,520.53,1146.79,2201.64,3765.82
2016_05_01,1462060800000,desktop,269.26,710.52,1480.05,2796.18,4923.38
2016_05_01,1462060800000,mobile,189.62,437.77,942.65,1765.69,2900.77
2016_04_15,1460678400000,desktop,258.52,696.51,1469.53,2771.7,4863.27
2016_04_15,1460678400000,mobile,180.09,432.47,940.08,1769.71,2912.36
2016_04_01,1459468800000,desktop,267.18,707.83,1479.08,2782.25,4873.72
2016_04_01,1459468800000,mobile,191.4,431.12,955.84,1756.45,2826.95
2016_03_15,1458000000000,desktop,266.97,713.29,1481.34,2776.74,4857.9
2016_03_01,1456790400000,desktop,270.87,712.61,1477.7,2757.49,4805.87
2016_03_01,1456790400000,mobile,187.01,434.78,960.32,1735.26,2835.25
2016_02_15,1455494400000,desktop,271.18,709.33,1465.92,2735.73,4763.8
2016_02_15,1455494400000,mobile,188.69,428.36,940.87,1718.01,2834.0
2016_02_01,1454284800000,desktop,269.77,701.21,1453.72,2715.02,4736.53
2016_02_01,1454284800000,mobile,187.43,431.27,940.53,1723.68,2787.44
2016_01_15,1452816000000,desktop,267.22,699.13,1441.68,2685.42,4676.78
2016_01_15,1452816000000,mobile,180.61,421.61,910.21,1684.06,2793.77
2016_01_01,1451606400000,desktop,267.88,705.57,1448.67,2695.38,4698.42
2016_01_01,1451606400000,mobile,184.53,438.88,905.3,1688.9,2779.19
2015_12_15,1450137600000,desktop,267.36,708.16,1466.43,2743.4,4800.12
2015_12_15,1450137600000,mobile,183.36,419.57,921.39,1706.47,2792.49
2015_12_01,1448928000000,desktop,261.21,695.66,1440.46,2691.39,4691.59
2015_12_01,1448928000000,mobile,175.07,406.6,893.44,1671.21,2724.09
2015_11_15,1447545600000,desktop,262.22,693.46,1432.48,2682.72,4705.06
2015_11_15,1447545600000,mobile,175.05,403.46,887.42,1672.23,2719.68
2015_11_01,1446336000000,desktop,263.36,687.95,1416.23,2637.86,4618.81
2015_11_01,1446336000000,mobile,176.21,393.41,880.14,1641.11,2649.7
2015_10_15,1444867200000,desktop,262.1,685.92,1410.55,2625.14,4595.96
2015_10_15,1444867200000,mobile,170.38,392.79,879.15,1627.62,2675.01
2015_10_01,1443657600000,desktop,213.87,594.73,1273.47,2379.03,4134.34
2015_10_01,1443657600000,mobile,170.5,389.99,869.57,1640.95,2689.83
2015_09_15,1442275200000,desktop,258.36,679.2,1399.87,2628.14,4590.5
2015_09_15,1442275200000,mobile,162.75,384.51,864.83,1615.03,2679.92
2015_09_01,1441065600000,desktop,255.07,671.56,1393.07,2629.85,4575.83
2015_09_01,1441065600000,mobile,164.55,394.79,852.81,1596.93,2661.37
2015_08_15,1439596800000,desktop,259.91,678.08,1398.42,2620.43,4587.4
2015_08_15,1439596800000,mobile,167.5,382.18,857.69,1592.24,2648.16
2015_08_01,1438387200000,desktop,256.43,673.25,1389.65,2621.53,4657.16
2015_08_01,1438387200000,mobile,165.72,377.15,856.79,1590.7,2564.05
2015_07_15,1436918400000,desktop,252.37,668.5,1385.96,2622.67,4643.17
2015_07_15,1436918400000,mobile,160.78,375.62,845.03,1586.0,2579.47
2015_07_01,1435708800000,desktop,249.23,656.46,1363.47,2581.5,4573.33
2015_07_01,1435708800000,mobile,161.61,370.06,846.0,1566.62,2629.34
2015_06_15,1434326400000,desktop,244.95,649.17,1349.28,2565.5,4605.34
2015_06_15,1434326400000,mobile,153.47,364.34,817.89,1536.69,2562.93
2015_06_01,1433116800000,desktop,243.66,644.69,1333.65,2529.47,4475.44
2015_06_01,1433116800000,mobile,155.88,371.43,816.32,1527.9,2559.16
2015_05_15,1431648000000,desktop,243.05,639.26,1328.22,2518.9,4511.77
2015_05_15,1431648000000,mobile,155.15,359.42,805.96,1527.84,2476.26
2015_05_01,1430438400000,desktop,239.67,632.67,1312.15,2469.24,4396.73
2015_05_01,1430438400000,mobile,150.75,349.34,806.92,1524.04,2508.06
2015_04_15,1429056000000,desktop,237.62,628.29,1307.97,2465.01,4401.33
2015_04_15,1429056000000,mobile,145.54,355.86,811.68,1539.08,2592.33
2015_04_01,1427846400000,desktop,221.89,594.29,1249.44,2347.34,4153.13
2015_04_01,1427846400000,mobile,147.64,361.94,813.38,1535.78,2548.71
2015_03_15,1426377600000,desktop,221.64,596.08,1246.58,2351.56,4198.75
2015_03_15,1426377600000,mobile,149.94,367.27,806.55,1523.4,2512.48
2015_03_01,1425168000000,desktop,234.98,616.14,1276.62,2397.51,4300.45
2015_03_01,1425168000000,mobile,150.03,364.54,818.15,1528.06,2579.71
2015_02_15,1423958400000,desktop,234.44,613.24,1272.36,2392.75,4278.34
2015_02_15,1423958400000,mobile,145.46,351.25,791.34,1497.32,2523.56
2015_02_01,1422748800000,desktop,232.35,608.88,1259.58,2357.47,4188.42
2015_02_01,1422748800000,mobile,143.88,342.96,768.39,1461.63,2460.48
2015_01_15,1421280000000,desktop,227.57,592.83,1239.45,2316.77,4098.09
2015_01_15,1421280000000,mobile,144.16,340.7,765.12,1458.29,2510.89
2015_01_01,1420070400000,desktop,225.51,588.19,1233.5,2307.22,4066.81
2015_01_01,1420070400000,mobile,136.98,347.06,750.24,1460.85,2460.48
2014_12_15,1418601600000,desktop,225.87,593.75,1249.38,2342.97,4145.05
2014_12_15,1418601600000,mobile,132.63,329.72,753.79,1457.53,2494.15
2014_12_01,1417392000000,desktop,222.56,586.52,1232.81,2322.93,4130.42
2014_12_01,1417392000000,mobile,129.89,318.31,736.14,1427.37,2464.84
2014_11_15,1416009600000,desktop,226.98,586.47,1228.76,2295.15,4007.23
2014_11_15,1416009600000,mobile,132.51,311.79,718.78,1419.87,2427.63
2014_11_01,1414800000000,desktop,230.69,589.72,1229.24,2303.35,4050.17
2014_11_01,1414800000000,mobile,138.89,317.29,728.49,1424.23,2417.33
2014_10_15,1413331200000,desktop,230.02,585.58,1225.56,2303.92,4105.95
2014_10_15,1413331200000,mobile,129.42,294.13,685.59,1362.47,2359.29
2014_10_01,1412121600000,desktop,227.3,577.03,1209.52,2265.2,3986.76
2014_10_01,1412121600000,mobile,130.6,291.21,673.32,1360.81,2309.21
2014_09_15,1410739200000,desktop,225.91,574.9,1204.51,2258.08,3970.04
2014_09_15,1410739200000,mobile,126.24,279.73,644.72,1317.73,2260.52
2014_09_01,1409529600000,desktop,224.42,569.74,1192.06,2236.56,3918.27
2014_09_01,1409529600000,mobile,126.64,285.51,667.88,1325.08,2324.91
2014_08_15,1408060800000,desktop,225.84,571.84,1189.26,2223.11,3905.6
2014_08_15,1408060800000,mobile,126.02,284.31,644.8,1299.75,2237.77
2014_08_01,1406851200000,desktop,224.25,572.24,1188.96,2210.0,3854.12
2014_08_01,1406851200000,mobile,134.44,286.03,643.43,1298.08,2279.14
2014_07_15,1405382400000,desktop,219.0,570.0,1184.68,2207.37,3865.1
2014_07_15,1405382400000,mobile,125.3,279.75,640.84,1262.16,2216.01
2014_07_01,1404172800000,desktop,216.01,565.46,1176.54,2199.39,3853.35
2014_07_01,1404172800000,mobile,125.5,287.46,627.6,1231.29,2167.61
2014_06_15,1402790400000,desktop,213.83,556.87,1160.99,2176.45,3806.92
2014_06_01,1401580800000,desktop,210.69,548.33,1146.93,2148.62,3746.45
2014_06_01,1401580800000,mobile,121.59,262.48,597.36,1175.74,2121.34
2014_05_15,1400112000000,desktop,209.16,542.9,1136.25,2134.91,3738.32
2014_05_15,1400112000000,mobile,117.35,258.45,598.32,1193.05,2037.57
2014_05_01,1398902400000,desktop,210.25,541.22,1129.99,2115.21,3716.62
2014_05_01,1398902400000,mobile,115.21,267.97,585.97,1178.59,2034.19
2014_04_15,1397520000000,desktop,207.22,536.43,1120.24,2098.49,3689.25
2014_04_15,1397520000000,mobile,113.83,252.77,592.89,1176.94,2059.52
2014_04_01,1396310400000,desktop,205.26,530.67,1109.3,2079.07,3647.34
2014_04_01,1396310400000,mobile,114.71,253.06,584.42,1168.93,2052.2
2014_03_15,1394841600000,desktop,199.66,522.56,1095.05,2058.96,3613.07
2014_03_15,1394841600000,mobile,108.18,257.19,570.04,1164.56,2019.16
2014_03_01,1393632000000,desktop,199.5,521.39,1088.29,2039.39,3574.06
2014_03_01,1393632000000,mobile,109.3,261.41,564.68,1135.16,2008.33
2014_02_15,1392422400000,desktop,200.29,519.18,1084.19,2032.26,3561.29
2014_02_15,1392422400000,mobile,107.88,253.72,559.97,1141.26,1978.24
2014_02_01,1391212800000,desktop,197.7,514.04,1072.44,2012.84,3535.67
2014_02_01,1391212800000,mobile,107.03,250.78,547.45,1128.79,1958.34
2014_01_15,1389744000000,desktop,196.73,511.83,1072.61,2008.03,3534.09
2014_01_15,1389744000000,mobile,107.58,248.53,550.38,1136.39,1939.39
2014_01_01,1388534400000,desktop,195.83,515.82,1081.38,2010.91,3516.11
2014_01_01,1388534400000,mobile,105.74,247.79,561.2,1107.24,1976.44
2013_12_15,1387065600000,desktop,197.23,525.59,1102.16,2048.95,3569.57
2013_12_15,1387065600000,mobile,106.95,245.74,546.56,1140.6,1966.58
2013_11_15,1384473600000,desktop,188.54,504.36,1062.48,1987.19,3462.82
2013_11_15,1384473600000,mobile,94.11,233.64,524.96,1100.31,1938.44
2013_11_01,1383264000000,desktop,185.47,487.66,1025.9,1930.21,3378.69
2013_11_01,1383264000000,mobile,94.23,228.42,518.38,1084.03,1920.16
